*
*
*Imbalance Prices Service For Balancing (B1770) Data
*
*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-22440571,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51.9,21,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22440420,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51,20,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22440420,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51,20,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22440298,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,52,19,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22440298,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,52,19,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22440175,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,52,18,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22440175,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,52,18,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22440041,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,52,17,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22440041,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,52,17,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22439916,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,52,16,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22439916,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,52,16,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22439746,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,23.98,15,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22439746,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,23.98,15,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22439621,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,31.69,14,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22439621,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,31.69,14,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22439488,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,23.82,13,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22439488,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,23.82,13,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22439360,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,6,12,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22439360,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,6,12,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22439246,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,6,11,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22439246,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,6,11,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22439111,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,23.93006,10,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22439111,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,23.93006,10,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22438975,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,23.93006,9,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22438975,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,23.93006,9,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22438822,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,50,8,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22438822,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,50,8,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22438698,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,50.5,7,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22438698,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,50.5,7,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22438579,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,24.77018,6,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22438579,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,24.77018,6,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
